보관금,,,-189,NNG+NNG,*,T,보관금,Preanalysis,NNG,NNG,보관/NNG/*+금/NNG/*
환매,,,-189,NNG+NNG,*,F,환매,Preanalysis,NNG,NNG,환/NNG/*+매/NNG/*
타인,,,-189,NNG+NNG,*,T,타인,Preanalysis,NNG,NNG,타/NNG/*+인/NNG/*
인출,,,-189,NNG+NNG,*,T,인출,Preanalysis,NNG,NNG,인/NNG/*+출/NNG/*
명의,,,-189,NNG+NNG,*,F,명의,Preanalysis,NNG,NNG,명/NNG/*+의/NNG/*
금융회사,,,,NNP,*,F,금융회사,*,*,*,*
타행,,,,NNP,*,T,타행,*,*,*,*
타은행,,,,NNP,*,T,타은행,*,*,*,*
인증서,,,-189,NNG+NNG,*,F,인증서,Preanalysis,NNG,NNG,인증/NNG/*+서/NNG/*
e-mail,,,,NNP,*,T,이메일,*,*,*,*
장애인,,,,NNP,*,T,장애인,*,*,*,*
오류코드,,,,NNP,*,F,오류코드,*,*,*,*
개설점,,,,NNP,*,T,개설점,*,*,*,*
타기관,,,,NNP,*,T,타기관,*,*,*,*
적립식,,,,NNP,*,T,적립식,*,*,*,*
개정법,,,-189,NNG+NNG,*,T,개정법,Preanalysis,NNG,NNG,개정/NNG/*+법/NNG/*
공과금,,,-189,NNG+NNG,*,T,공과금,Preanalysis,NNG,NNG,공과/NNG/*+금/NNG/*
상속,,,-189,NNG+NNG,*,T,상속,Preanalysis,NNG,NNG,상/NNG/*+속/NNG/*
수납기,,,,NNP,*,F,수납기,*,*,*,*
무통장,,,,NNP,*,T,무통장,*,*,*,*
무카드,,,,NNP,*,F,무카드,*,*,*,*
신고증,,,,NNP,*,T,신고증,*,*,*,*
자기앞,,,-189,NNG+NNG,*,T,자기앞,Preanalysis,NNG,NNG,자기/NNG/*+앞/NNG/*
해지,,,-189,NNG+NNG,*,F,해지,Preanalysis,NNG,NNG,해/NNG/*+지/NNG/*
입금,,,-189,NNG+NNG,*,T,입금,Preanalysis,NNG,NNG,입/NNG/*+금/NNG/*
환가료,,,-189,NNG+NNG,*,F,환가료,Preanalysis,NNG,NNG,환가/NNG/*+료/NNG/*
포멧,,,-189,NNG+NNG,*,T,포멧,Preanalysis,NNG,NNG,포/NNG/*+멧/NNG/*
서류,,,-189,NNG+NNG,*,F,서류,Preanalysis,NNG,NNG,서/NNG/*+류/NNG/*
지로,,,-189,NNG+NNG,*,F,지로,Preanalysis,NNG,NNG,지/NNG/*+로/NNG/*
무보증,,,,NNP,*,T,무보증,*,*,*,*
어플,,,,NNP,*,T,어플,*,*,*,*
